"Cause of death (male, 20–24 years)",Number,"Percent of total deaths","Death rate"
"All causes",14387,100,130
"Accidents (unintentional injuries)",6065,42.2,54.8
"Intentional self-harm (suicide)",3101,21.6,28
"Assault (homicide)",2466,17.1,22.3
"Malignant neoplasms",475,3.3,4.3
"Diseases of heart",357,2.5,3.2
"Diabetes mellitus",114,0.8,1
"Congenital malformations, deformations and chromosomal abnormalities",109,0.8,1
"Chronic lower respiratory diseases",68,0.5,0.6
"Legal intervention",60,0.4,0.5
"Cerebrovascular diseases",57,0.4,0.5
"All other causes",1515,10.5,13.7
