"Cause of death (both sexes, 5–9 years)","Death rate (per 100000)"
"All causes",11.6
"Accidents (unintentional injuries)",3.5
"Malignant neoplasms",1.8
"Congenital malformations, deformations and chromosomal abnormalities",1
"Assault (homicide)",0.8
"Diseases of heart",0.5
"Chronic lower respiratory diseases",0.3
"Influenza and pneumonia",0.3
"Cerebrovascular diseases",0.2
Septicemia,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.2
"All other causes",2.9
