| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.09           |
| 2–11 months       | 0.1            |
| 1–2 years         | 0.11           |
| 3–5 years         | 0.11           |
| 6–11 years        | 0.14           |
| 12–15 years       | 0.28           |
| 16–19 years       | 0.28           |
| 20–29 years       | 0.15           |
| 30–39 years       | 0.23           |
| 40–49 years       | 0.2            |
| 50–59 years       | 0.15           |
| 60–69 years       | 0.18           |
| 70–79 years       | 0.12           |
| 80 years and over | 0.12           |
