| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.09           |
| 2–11 months       | 0.12           |
| 1–2 years         | 0.15           |
| 3–5 years         | 0.14           |
| 6–11 years        | 0.19           |
| 12–15 years       | 0.31           |
| 16–19 years       | 0.28           |
| 20–29 years       | 0.21           |
| 30–39 years       | 0.22           |
| 40–49 years       | 0.14           |
| 50–59 years       | 0.26           |
| 60–69 years       | 0.18           |
| 70–79 years       | 0.15           |
| 80 years and over | 0.15           |
