"Drug name","Therapeutic drug category"
Ibuprofen,Analgesics
Acetaminophen-hydrocodone,Analgesics
Acetaminophen,Analgesics
Promethazine,"Antiemetic/antivertigo agents or antihistamines"
Ketorolac,Analgesics
Morphine,Analgesics
Ondansetron,"Antiemetic/antivertigo agents"
Hydromorphone,Analgesics
"Sodium chloride","Minerals and electrolytes or miscellaneous respiratory agents"
Acetaminophen-oxycodone,Analgesics
Albuterol,Bronchodilators
Azithromycin,"Macrolide derivatives"
Amoxicillin,Penicillins
Aspirin,"Analgesics or antiplatelet agents"
Ceftriaxone,Cephalosporins
Cephalexin,Cephalosporins
Sulfamethoxazole-trimethoprim,"Miscellaneous antibiotics or sulfonamides"
Diphenhydramine,"Antiemetic/antivertigo agents or antihistamines; anti-Parkinson agents; or anxiolytics, sedatives, and hypnotics"
Lorazepam,"Anticonvulsants; antiemetic/antivertigo agents; or anxiolytics, sedatives, and hypnotics"
Levofloxacin,Quinolones
