Age,Injury,"Accidental discharge","Intentional self-harm (suicide)","Assault (homicide)","Undetermined intent","Legal intervention"
"All ages",2.9,0.1,1.5,1.3,0,*
"Under 1 year",*,*,...,*,*,*
"1-4 years",*,*,...,*,*,*
"5-9 years",0.2,*,*,0.2,*,*
"10-14 years",0.5,*,0.2,0.3,*,*
"15-19 years",2.9,*,1.1,1.7,*,*
"20-24 years",4.3,*,1.3,2.7,*,*
"25-29 years",4.1,*,1.6,2.4,*,*
"30-34 years",4.2,*,1.9,2.1,*,*
"35-39 years",4.6,*,2.4,2,*,*
"40-44 years",4.2,*,2.4,1.7,*,*
"45-49 years",3.7,*,2.3,1.4,*,*
"50-54 years",3.6,*,2.5,1,*,*
"55-59 years",3.2,*,2.1,0.9,*,*
"60-64 years",2.8,*,2.1,0.7,*,*
"65-69 years",2.7,*,1.8,0.8,*,*
"70-74 years",2.4,*,1.6,0.7,*,*
"75-79 years",2.2,*,1.4,0.7,*,*
"80-84 years",1.9,*,1.5,*,*,*
"85 years and over",1.7,*,1.1,*,*,*
"Age-adjusted rate",2.9,0.1,1.5,1.3,0,*
