Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",524,47.9,0.2,43.5,44.4,45,46,47.7,49.5,50.8,51.8,53.1
"3 years",485,49.8,0.31,45.1,46,46.6,47.5,49.3,51.2,52.5,53.2,55.5
"4 years",542,51.4,0.25,46.4,47.2,47.8,48.9,51.4,52.9,54.4,55.3,57.2
"5 years",492,53,0.31,47.6,48.4,48.8,50.1,52.5,54.9,56,57.3,61.2
"6 years",279,55.7,0.64,*,49.6,50.5,51.5,54.1,57.8,59.7,66.5,*
"7 years",268,57.4,0.63,*,51.4,52.1,53,55.7,59.4,62.7,64.2,*
"8 years",262,60,0.72,*,52.7,53.6,54.6,58,63.7,67.2,72,*
"9 years",273,63.3,0.91,*,54.1,55,56.7,59.6,68.8,75,78.1,*
"10 years",293,65.1,0.83,*,55.1,56.1,57.9,62.9,69.5,76.7,77.5,*
"11 years",281,68.7,1.02,*,58.2,59,61,65.1,74.1,81.1,84.4,*
"12 years",202,72.2,1.2,*,*,61.1,64.5,69.1,80.2,84.5,*,*
"13 years",181,73,1.35,*,*,61.7,65,69.6,80.4,85.5,*,*
"14 years",185,77.4,1.91,*,*,66.6,67.5,73.1,79.5,85.5,*,*
"15 years",182,78.7,1.54,*,*,66.8,69.6,75.4,85.4,92.1,*,*
"16 years",191,78.3,1.25,*,*,70.1,71.4,75,82,85.8,*,*
"17 years",190,81,1.26,*,*,70.9,73,77.6,84.5,94.7,*,*
"18 years",169,80.2,1.35,*,*,71,71.9,77,84.9,91,*,*
"19 years",162,82.1,1.33,*,*,73.1,75.1,79.2,86.2,94.6,*,*
"20 years and older",7410,95.2,0.3,75.9,79.1,81.6,86.1,94.3,102.9,108.1,111.7,118.6
"20–29 years",1579,87.6,0.43,72.3,74.5,76.2,79.1,85.6,94,99.6,103.4,111.5
"30–39 years",1428,93.6,0.46,76.4,79.3,81.7,85.7,92.5,100,103.5,108.1,115.1
"40–49 years",1173,97.7,0.54,79.1,83.1,85.2,89.5,96.5,104.2,109.6,112.7,121.1
"50–59 years",816,100.5,0.58,83.4,86,88.6,92.3,99.4,107.2,111.9,116.7,121.5
"60–69 years",1101,101.6,0.49,82.8,87.2,90.3,94.3,101.9,109,112.2,116.1,120.7
"70–79 years",773,100.1,0.57,80.8,86,89.1,93,100.3,107.2,110.8,114,120.2
"80 years and older",540,97.6,0.67,79.2,84.2,86.4,91.5,97.5,103.6,108.5,111.1,115
