Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",588,16.5,0.09,14.7,15,15.3,15.6,16.3,17.2,17.7,18.1,18.6
"3 years",512,16.1,0.16,14.1,14.4,14.7,15.1,15.9,16.7,17.2,17.7,18.5
"4 years",547,15.9,0.1,13.9,14.4,14.6,15,15.8,16.5,17.1,17.3,18
"5 years",495,15.9,0.13,13.7,14.3,14.5,14.8,15.5,16.4,17.1,17.3,18.5
"6 years",282,16.3,0.26,*,14.1,14.3,14.8,15.7,16.4,17.8,19.9,*
"7 years",269,16.5,0.24,*,14.4,14.7,15.1,15.8,17.3,18.5,19,*
"8 years",266,17.3,0.34,*,14.5,14.9,15.3,16.3,18.6,19.9,22.1,*
"9 years",279,18,0.33,*,15,15.2,15.7,17,19.8,21.5,22.9,*
"10 years",297,18.4,0.3,*,15.2,15.5,16,17.7,20.2,22,22.8,*
"11 years",280,19.4,0.4,*,15.7,16,16.4,18.3,21,23.3,24.8,*
"12 years",203,20.1,0.44,*,*,16.7,17.9,19,21.8,23,*,*
"13 years",187,20.5,0.49,*,*,16.9,18,19.5,22.5,24.8,*,*
"14 years",188,22.3,0.84,*,*,17.7,18.8,20.8,23.6,24.6,*,*
"15 years",187,22.3,0.56,*,*,18.7,19.5,20.9,24.3,25.4,*,*
"16 years",194,22.3,0.56,*,*,19,19.4,21.2,23.4,26.3,*,*
"17 years",196,23.4,0.53,*,*,19.8,25,21.8,25.2,28.5,*,*
"18 years",176,22.6,0.56,*,*,19.2,19.4,21.8,24.6,26.8,*,*
"19 years",168,23.7,0.53,*,*,20.4,20.8,22.7,25.1,27.2,*,*
"20 years and older",7941,26.6,0.11,20.3,21.3,22.1,23.4,25.9,29,30.9,32.4,35.1
"20–29 years",1630,25.2,0.17,19.4,20.3,20.9,22,24.3,27.4,29.3,30.8,33.6
"30–39 years",1481,26.5,0.18,20.5,21.6,22.2,23.5,25.8,28.4,30.6,32.1,35.5
"40–49 years",1226,27.3,0.22,21.2,22.2,22.7,24.1,26.4,29.6,32,33.4,36.2
"50–59 years",855,27.8,0.23,21.4,22.6,23.5,24.7,27.2,30.7,32.1,33.5,35.8
"60–69 years",1175,27.3,0.18,20.6,21.9,23.1,24.4,27.1,30,31.7,32.8,34.2
"70–79 years",875,26.7,0.21,20.4,21.5,22.3,23.8,26.1,29.3,30.7,31.7,34.9
"80 years and older",699,25,0.22,18.5,19.8,21.1,22.4,25,27.1,28.7,29.5,31.7
