Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",290,7.4,0.1,*,6.3,6.5,6.7,7.3,7.9,8.2,8.6,*
"6–8 months",320,8.8,0.11,*,7.4,7.7,8,8.7,9.5,10,10.4,*
"9–11 months",277,9.6,0.11,*,8.3,8.5,8.8,9.6,10.3,10.6,10.9,*
"1 year",663,11.6,0.1,9.3,9.7,10,10.6,11.5,12.4,12.9,13.5,14.2
"2 years",645,13.6,0.11,11.3,11.8,12.1,12.5,13.5,14.5,15.1,15.8,16.3
"3 years",516,15.8,0.2,12.8,13.3,13.7,14.4,15.5,17,17.5,18,18.7
"4 years",549,17.7,0.18,14.4,15.1,15.4,16,17.4,18.9,19.7,20.6,21.8
"5 years",497,20.1,0.25,15.8,16.5,17.2,18,19.9,21.7,22.8,23.7,25.6
"6 years",283,23.3,0.57,*,18.3,18.8,19.7,21.9,24.8,27,29.7,*
"7 years",269,26.3,0.56,*,21.1,21.5,22.7,25.5,29.8,31.2,31.6,*
"8 years",266,30.2,0.83,*,23.2,24,25.1,27.9,33.2,37.2,42.3,*
"9 years",281,34.4,0.87,*,26.2,27.1,28.1,32,40.1,44.2,45.3,*
"10 years",297,37.3,0.87,*,27.9,28.5,31.7,36.1,41.4,48.7,49.6,*
"11 years",281,42.5,1.18,*,31.9,33.4,35,39.7,46.5,53.8,56.2,*
"12 years",203,49.1,1.43,*,*,37.9,41,48.1,56,60.1,*,*
"13 years",187,54,1.72,*,*,41.2,44.7,52.4,61.1,66.2,*,*
"14 years",188,64.1,2.73,*,*,50.4,54,60.7,66.8,74.3,*,*
"15 years",187,66.9,2.03,*,*,52,55,63.6,77.4,83.6,*,*
"16 years",194,68.8,2.23,*,*,54.7,58.6,65.9,74.2,78.4,*,*
"17 years",196,72.9,1.75,*,*,60,62.6,70.1,79,84.8,*,*
"18 years",176,71.3,2.09,*,*,57.6,60.2,67.6,77.3,87.3,*,*
"19 years",168,73,1.82,*,*,60.6,63.6,71.4,76.9,86.9,*,*
"20 years and older",7942,82.1,0.38,59.7,63.7,66.1,70.9,80,90.6,97.5,102.8,110.8
"20–29 years",1630,78.3,0.62,57.7,60.9,63.1,67.1,75,85.3,93.2,99.1,107.7
"30–39 years",1481,83,0.68,61.8,64.6,67.4,72,79.9,91.3,98.8,102.9,112.7
"40–49 years",1226,85.1,0.76,61.5,66,68.6,74.4,82.2,93.9,101.6,105.7,116.6
"50–59 years",855,86,0.8,63.4,68.2,72,75.7,84.1,94,100.7,105.3,114.3
"60–69 years",1175,83.1,0.65,61.1,64.5,67.7,72.8,82.4,92.5,98.4,102,107.3
"70–79 years",875,79,0.71,58.5,62,64.2,68.8,77.9,87,93.5,96.1,103.3
"80 years and older",700,71.8,0.74,52,56.2,58.4,63.6,70.8,78.7,84.1,88,93.1
