"Cause of death (both sexes, Infants)","Percent"
"All causes",100
"Congenital malformations, deformations and chromosomal abnormalities",20.6
"Disorders related to short gestation and low birth weight, not elsewhere classified",16.5
"Accidents (unintentional injuries)",6.1
"Sudden infant death syndrome",6
"Newborn affected by maternal complications of pregnancy",6
"Newborn affected by complications of placenta, cord and membranes",3.5
"Bacterial sepsis of newborn",2.9
"Respiratory distress of newborn",2
"Diseases of the circulatory system.",1.9
"Necrotizing enterocolitis of newborn",1.7
"All other causes",32.9
