Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,1924,52.9,719
"2–11 months",805,1502,91.1,391
"1–2 years",1139,934,52.4,414
"3–5 years",1517,1022,75.1,429
"6–11 years",1553,1286,104.4,459
"12–15 years",848,1329,269,468
"16–19 years",810,1305,177.5,499
"20–29 years",1813,1703,157.8,684
"30–39 years",1814,2111,118.8,814
"40–49 years",1315,2018,114.7,799
"50–59 years",979,2420,165.7,947
"60–69 years",1097,2655,125.9,1185
"70–79 years",895,2713,154.6,1295
"80 years and over",596,2765,188.1,1160
