"Primary diagnosis","Number of visits in thousands","Standard error in thousands"
"All female visits, age under 15 years",10072,859
"Acute upper respiratory infections, excluding pharyngitis",929,137
"Otitis media and Eustachian tube disorders",614,92
"Unspecified viral and Chlamydia infection",503,124
"Contusion with intact skin surface",451,63
"Pyrexia of unknown origin",433,67
"Open wound of head",370,55
"Acute pharyngitis",357,45
"Abdominal pain",307,58
"Noninfectious enteritis and colitis",264,62
"Fractures, excluding lower limb ",204,45
"All other diagnoses",5640,482
