Age,"Sample size",Mean,"Standard error",Median
"All ages",29103,11.6,0.08,11.4
"2–11 months",1620,15.9,0.13,16.1
"1–2 years",2310,13.4,0.18,13.1
"3–5 years",2941,12.3,0.11,12.2
"6–11 years",3134,12.5,0.12,12.4
"12–15 years",1598,11.8,0.16,11.7
"16–19 years",1521,11.9,0.18,11.6
"20–29 years",3400,11.4,0.15,11.2
"30–39 years",3238,11.6,0.14,11.5
"40–49 years",2503,11.4,0.15,11.1
"50–59 years",1799,11.2,0.18,11.2
"60–69 years",2208,10.7,0.14,10.4
"70–79 years",1678,10.7,0.18,10.4
"80 years and over",1153,10.6,0.16,10.4
