"Cause of death (female, Neonates)",Number,"Percent of total deaths","Death rate"
"All causes",6117,100,334.2
"Disorders related to short gestation and low birth weight, not elsewhere classified",1447,23.7,79.1
"Congenital malformations, deformations and chromosomal abnormalities",1427,23.3,78
"Newborn affected by maternal complications of pregnancy",537,8.8,29.3
"Newborn affected by complications of placenta, cord and membranes",331,5.4,18.1
"Bacterial sepsis of newborn",250,4.1,13.7
"Respiratory distress of newborn",167,2.7,9.1
"Neonatal hemorrhage",151,2.5,8.3
"Intrauterine hypoxia and birth asphyxia",149,2.4,8.1
"Necrotizing enterocolitis of newborn",148,2.4,8.1
Atelectasis,93,1.5,5.1
"All other causes",1417,23.2,77.4
