"Cause of death (both sexes, Infants)","Death rate (per 100000)"
"All causes",558.3
"Congenital malformations, deformations and chromosomal abnormalities",114.8
"Disorders related to short gestation and low birth weight, not elsewhere classified",91.9
"Accidents (unintentional injuries)",33.8
"Sudden infant death syndrome",33.3
"Newborn affected by maternal complications of pregnancy",33.2
"Newborn affected by complications of placenta, cord and membranes",19.8
"Bacterial sepsis of newborn",16.1
"Respiratory distress of newborn",11.3
"Diseases of the circulatory system.",10.8
"Necrotizing enterocolitis of newborn",9.4
"All other causes",183.8
