"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",17744,100,96
"Accidents (unintentional injuries)",7358,41.5,39.8
"Assault (homicide)",3025,17,16.4
"Intentional self-harm (suicide)",2373,13.4,12.8
"Malignant neoplasms",968,5.5,5.2
"Diseases of heart",628,3.5,3.4
"Congenital malformations, deformations and chromosomal abnormalities",216,1.2,1.2
"Human immunodeficiency virus (HIV) disease.",144,0.8,0.8
"Cerebrovascular diseases",132,0.7,0.7
"Influenza and pneumonia",124,0.7,0.7
"Diabetes mellitus",114,0.6,0.6
"All other causes",2662,15,14.4
