"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",13374,100,142
"Accidents (unintentional injuries)",5703,42.6,60.6
"Assault (homicide)",2590,19.4,27.5
"Intentional self-harm (suicide)",2073,15.5,22
"Malignant neoplasms",576,4.3,6.1
"Diseases of heart",390,2.9,4.1
"Congenital malformations, deformations and chromosomal abnormalities",131,1,1.4
"Human immunodeficiency virus (HIV) disease",80,0.6,0.8
"Cerebrovascular diseases",68,0.5,0.7
"Influenza and pneumonia",67,0.5,0.7
"Diabetes mellitus",63,0.5,0.7
"All other causes",1633,12.2,17.3
