"Cause of death","Rate (per 100000)"
"All causes",417
"Disorders related to short gestation and low birth weight,23.8,99
"Congenital malformations,23.2,96.8
"Newborn affected by maternal complications of pregnancy",30.7
"Newborn affected by complications of placenta,5.9,24.5
"Respiratory distress of newborn",16.9
"Bacterial sepsis of newborn",15.4
"Intrauterine hypoxia and birth asphyxia",13.1
"Neonatal hemorrhage",11.2
Atelectasis,9.6
"Necrotizing enterocolitis of newborn",6.4
"All other causes",93.7
