"Cause of death","Rate (per 100000)"
"All causes",462.6
"Disorders related to short gestation and low birth weight,23,106.4
"Congenital malformations,22.1,102.1
"Newborn affected by maternal complications of pregnancy",34.3
"Newborn affected by complications of placenta,5.6,25.8
"Respiratory distress of newborn",22.9
"Bacterial sepsis of newborn",18.2
"Intrauterine hypoxia and birth asphyxia",14.5
"Neonatal hemorrhage",13.9
Atelectasis,11.9
"Necrotizing enterocolitis of newborn",7.7
"All other causes",104.9
