"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",10511,100,506.1
"Disorders related to short gestation and low birth weight, not elsewhere classified",2355,22.4,113.4
"Congenital malformations, deformations and chromosomal abnormalities",2226,21.2,107.2
"Newborn affected by maternal complications of pregnancy",786,7.5,37.8
"Respiratory distress of newborn",595,5.7,28.6
"Newborn affected by complications of placenta, cord and membranes",564,5.4,27.2
"Bacterial sepsis of newborn",432,4.1,20.8
"Neonatal hemorrhage",342,3.3,16.5
"Intrauterine hypoxia and birth asphyxia",330,3.1,15.9
Atelectasis,293,2.8,14.1
"Necrotizing enterocolitis of newborn",187,1.8,9
"All other causes",2401,22.8,115.6
