"Cause of death (males, Postneonates)",Number
"All causes",3990
"Accidents (unintentional injuries)",674
"Sudden infant death syndrome",645
"Congenital malformations, deformations and chromosomal abnormalities",628
"Diseases of the circulatory system",177
"Assault (homicide)",148
"Diarrhea and gastroenteritis of infectious origin",97
"Influenza and pneumonia",91
"Chronic respiratory disease originating in the perinatal period",86
Septicemia,67
"Disorders related to short gestation and low birth weight, not elsewhere classified",37
"All other causes",1340
