Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",79825,100,30256.3
"Nervous system",13330,16.7,5052.5
"Circulatory system",10901,13.7,4131.8
"Respiratory system",10528,13.2,3990.5
Infectious,8104,10.2,3071.7
"Genitourinary system",5874,7.4,2226.4
"Digestive system",3593,4.5,1361.9
Cancer,3119,3.9,1182.2
"Consumption (Tuberculosis)",2074,2.6,786.1
"Accidents and injuries",1977,2.5,749.3
Skin,149,0.2,56.5
"Bones and joints",81,0.1,30.7
"Absorbent system",24,0,9.1
"Affections connected with pregnancy",5,0,1.9
"Other causes",20066,25.1,7605.7
