"Table 112. Saccharin intake in milligrams by sex, age, and income level: United States, 1988–94",,,,
"Both sexes",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,6.5,0.47,
"Under 6 years",6871,0.5,0.13,
"6–11 years",3134,1.3,0.35,
"12–19 years",3121,1.9,0.61,
"20–59 years",10940,7.6,0.76,
"60 years and over",5039,12.1,0.89,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,3.8,0.6,
"Under 6 years",3145,0.3,0.09,
"6–11 years",1446,0.7,0.32,
"12–19 years",1345,1.5,0.68,
"20–59 years",3329,4,1.18,
"60 years and over",1431,11.7,1.75,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,7.1,0.51,
"Under 6 years",3128,0.6,0.22,
"6–11 years",1439,1.6,0.51,
"12–19 years",1470,2.3,0.9,
"20–59 years",6710,8.1,0.73,
"60 years and over",3024,12.4,1.02,
,,,,
"MALES ---------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,5.5,0.67,
"Under 6 years",3410,0.6,0.23,
"6–11 years",1581,1.4,0.6,
"12–19 years",1462,2,1.12,
"20–59 years",5019,6.1,1.05,
"60 years and over",2451,12.4,1.41,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,3.2,1.04,
"Under 6 years",1564,0.2,0.1,
"6–11 years",713,0.4,0.21,
"12–19 years",634,1.2,0.56,
"20–59 years",1390,3.6,1.98,
"60 years and over",628,13.2,4.15,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,5.7,0.62,
"Under 6 years",1548,0.8,0.38,
"6–11 years",746,1.8,0.88,
"12–19 years",674,2.5,1.68,
"20–59 years",3226,5.8,0.77,
"60 years and over",1576,12.3,1.57,
,,,,
"FEMALES ----------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,7.4,0.44,
"Under 6 years",3461,0.4,0.14,
"6–11 years",1553,1.2,0.35,
"12–19 years",1659,1.9,0.52,
"20–59 years",5921,9,0.78,
"60 years and over",2588,12,0.86,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,4.2,0.55,
"Under 6 years",1581,0.3,0.14,
"6–11 years",733,1,0.55,
"12–19 years",711,1.9,1.12,
"20–59 years",1939,4.4,0.87,
"60 years and over",803,11,1.93,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,8.5,0.6,
"Under 6 years",1580,0.5,0.22,
"6–11 years",693,1.4,0.51,
"12–19 years",796,2.1,0.65,
"20–59 years",3484,10.3,0.94,
"60 years and over",1448,12.5,1.12,
