"Table 100. Aspartame intake in milligrams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,50.3,2,
"Under 6 years",6871,5.2,0.69,
"6–11 years",3134,15.4,2.02,
"12–19 years",3121,25.3,3.76,
"20–59 years",10940,70.4,3.12,
"60 years and over",5039,42.6,2.69,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,22.5,2.31,
"Under 6 years",3145,*3.2,*0.98,
"6–11 years",1446,*10.0,*2.73,
"12–19 years",1345,*15.4,*4.75,
"20–59 years",3329,31.3,3.85,
"60 years and over",1431,32.9,5,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,59,2.53,
"Under 6 years",3128,6.6,0.83,
"6–11 years",1439,18.5,2.69,
"12–19 years",1470,29,4.19,
"20–59 years",6710,80,3.87,
"60 years and over",3024,44.2,2.59,
,,,,
"MALES --------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,44.2,2.59,
"Under 6 years",3410,5.6,0.97,
"6–11 years",1581,15.8,2.89,
"12–19 years",1462,19.1,4.02,
"20–59 years",5019,61.2,4.08,
"60 years and over",2451,42.4,3.82,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,16.8,3.07,
"Under 6 years",1564,*3.4,*1.26,
"6–11 years",713,*13.1,*4.65,
"12–19 years",634,*23.3,*9.48,
"20–59 years",1390,*15.4,*4.12,
"60 years and over",628,*39.3,*10.27,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,52.4,3.23,
"Under 6 years",1548,7.1,1.19,
"6–11 years",746,17.5,3.78,
"12–19 years",674,16.3,2.59,
"20–59 years",3226,71.5,4.98,
"60 years and over",1576,43.7,4.08,
,,,,
"FEMALES ------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,56.1,2.44,
"Under 6 years",3461,4.8,0.61,
"6–11 years",1553,15,2.43,
"12–19 years",1659,31.7,5.42,
"20–59 years",5921,79.2,3.79,
"60 years and over",2588,42.8,3.17,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,26.9,2.39,
"Under 6 years",1581,*3.0,*1.01,
"6–11 years",733,*7.1,*2.17,
"12–19 years",711,*8.5,*2.92,
"20–59 years",1939,43.4,4.73,
"60 years and over",803,29.7,4,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,65.6,3.04,
"Under 6 years",1580,6,0.92,
"6–11 years",693,19.5,3.57,
"12–19 years",796,42.2,7.41,
"20–59 years",3484,88.5,4.84,
"60 years and over",1448,44.7,3.07,
