"Cause of death",Rate
"All causes",13228.6
"Enterocolitis due to Clostridium difficile",23.5
Septicemia,150.2
"Viral hepatitis",2
"Human immunodeficiency virus (HIV) disease",0.6
"Malignant neoplasms",1571
"  Malignant neoplasms of lip, oral cavity and pharynx",20.5
"  Malignant neoplasm of esophagus",25.7
"  Malignant neoplasm of stomach",27.4
"  Malignant neoplasms of colon, rectum and anus",158.4
"  Malignant neoplasms of liver and intrahepatic bile ducts",46.2
"  Malignant neoplasm of pancreas",102.1
"  Malignant neoplasms of trachea, bronchus and lung",281.3
"  Malignant melanoma of skin",22.1
"  Malignant neoplasm of breast",112.1
"  Malignant neoplasm of cervix uteri",3.8
"  Malignant neoplasm of ovary",27
"  Malignant neoplasm of prostate",154.8
"  Malignant neoplasms of kidney and renal pelvis",36.8
"  Malignant neoplasm of bladder",82.4
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",20.9
"  Non-Hodgkin lymphoma",71.8
"  Multiple myeloma and immunoproliferative neoplasms",40.1
"  Leukemia",81.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",77.6
Anemias,30.1
"Diabetes mellitus",259.5
"Nutritional deficiencies",97
Obesity,3.9
"Parkinson disease",215.9
"Alzheimer disease",1191.3
"Major cardiovascular diseases",5125.5
"  Diseases of heart",3798.3
"  Essential hypertension and hypertensive renal disease",227.1
"  Cerebrovascular diseases",977.3
"  Atherosclerosis",33.7
"  Aortic aneurysm and dissection",36.5
"Influenza and pneumonia",294.7
"Chronic lower respiratory diseases",654.3
"Pneumonitis due to solids and liquids",130
"Chronic liver disease and cirrhosis",26.5
"  Alcoholic liver disease",3.4
"Cholelithiasis and other disorders of gallbladder",23.6
"Nephritis, nephrotic syndrome and nephrosis",250.9
"Pregnancy, childbirth and the puerperium",*
"Certain conditions originating in the perinatal period",*
"Congenital malformations, deformations and chromosomal abnormalities",5.1
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",175.6
"Accidents (unintentional injuries)",377.4
"  Motor vehicle accidents",21.4
"  Falls",276.4
"  Accidental discharge of firearms",*
"  Accidental drowning and submersion",1.6
"  Accidental hanging, strangulation, and suffocation",24.1
"  Accidental exposure to smoke, fire and flames",3.2
"  Accidental poisoning and exposure to noxious substances",3
"Intentional self–harm (suicide)",20.1
"  Intentional self–harm (suicide) by poisoning",1.9
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",1.5
"  Intentional self–harm (suicide) by discharge of firearms",15.4
"Assault (homicide)",1.6
"  Assault (homicide) by discharge of firearms",0.5
"Legal intervention",*
"Complications of medical and surgical care",13.2
"Dementia-related causes",2688.9
"Drug-induced deaths",4.6
"  Drug overdose deaths",3.6
"Alcohol-induced deaths",6.4
"Injury by firearms",16.1
