"Cause of death",Rate
"All causes",128.8
"Enterocolitis due to Clostridium difficile",*
Septicemia,0.8
"Viral hepatitis",0.1
"Human immunodeficiency virus (HIV) disease",1.1
"Malignant neoplasms",7.8
"- Malignant neoplasms of lip, oral cavity and pharynx",0.1
"- Malignant neoplasm of esophagus",0.1
"- Malignant neoplasm of stomach",0.3
"- Malignant neoplasms of colon, rectum and anus",0.7
"- Malignant neoplasms of liver and intrahepatic bile ducts",0.2
"- Malignant neoplasm of pancreas",0.1
"- Malignant neoplasms of trachea, bronchus and lung",0.2
"- Malignant melanoma of skin",0.2
"- Malignant neoplasm of breast",0.9
"- Malignant neoplasm of cervix uteri",0.4
"- Malignant neoplasm of ovary",0.2
"- Malignant neoplasm of prostate",*
"- Malignant neoplasms of kidney and renal pelvis",0.1
"- Malignant neoplasm of bladder",*
"- Malignant neoplasms of meninges, brain and other parts of central nervous system",0.9
"- Non-Hodgkin lymphoma",0.3
"- Multiple myeloma and immunoproliferative neoplasms",*
"- Leukemia",0.8
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.2
Anemias,0.3
"Diabetes mellitus",1.9
"Nutritional deficiencies",0
Obesity,0.9
"Parkinson disease",*
"Alzheimer disease",*
"Major cardiovascular diseases",9.6
"- Diseases of heart",7.6
"- Essential hypertension and hypertensive renal disease",0.3
"- Cerebrovascular diseases",1.3
"- Atherosclerosis",*
"- Aortic aneurysm and dissection",0.3
"Influenza and pneumonia",1
"Chronic lower respiratory diseases",0.8
"Pneumonitis due to solids and liquids",0.2
"Chronic liver disease and cirrhosis",2.4
"- Alcoholic liver disease",2
"Cholelithiasis and other disorders of gallbladder",*
"Nephritis, nephrotic syndrome and nephrosis",0.7
"Pregnancy, childbirth and the puerperium",1.2
"Certain conditions originating in the perinatal period",*
"Congenital malformations, deformations and chromosomal abnormalities",0.9
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2.5
"Accidents (unintentional injuries)",53.4
"- Motor vehicle accidents",14.8
"- Falls",0.7
"- Accidental discharge of firearms",0.2
"- Accidental drowning and submersion",1
"- Accidental hanging, strangulation, and suffocation",0.4
"- Accidental exposure to smoke, fire and flames",0.3
"- Accidental poisoning and exposure to noxious substances",33.9
"Intentional self–harm (suicide)",17.5
"- Intentional self–harm (suicide) by poisoning",1.6
"- Intentional self–harm (suicide) by hanging, strangulation and suffocation",6.8
"- Intentional self–harm (suicide) by discharge of firearms",7.6
"Assault (homicide)",11.6
"- Assault (homicide) by discharge of firearms",9.8
"Legal intervention",0.5
"Complications of medical and surgical care",0.2
"Dementia-related causes",0.1
"Drug-induced deaths",36.9
"- Drug overdose deaths",35.6
"Alcohol-induced deaths",4.2
"Injury by firearms",18.1
