"Cause of death",Rate
"All causes",392.4
"Enterocolitis due to Clostridium difficile",0.3
Septicemia,5.3
"Viral hepatitis",1.5
"Human immunodeficiency virus (HIV) disease",3
"Malignant neoplasms",87.1
"- Malignant neoplasms of lip, oral cavity and pharynx",2
"- Malignant neoplasm of esophagus",2.7
"- Malignant neoplasm of stomach",2.5
"- Malignant neoplasms of colon, rectum and anus",12
"- Malignant neoplasms of liver and intrahepatic bile ducts",3.6
"- Malignant neoplasm of pancreas",6
"- Malignant neoplasms of trachea, bronchus and lung",13.6
"- Malignant melanoma of skin",1.5
"- Malignant neoplasm of breast",11.3
"- Malignant neoplasm of cervix uteri",2.1
"- Malignant neoplasm of ovary",2.6
"- Malignant neoplasm of prostate",0.9
"- Malignant neoplasms of kidney and renal pelvis",2.2
"- Malignant neoplasm of bladder",0.9
"- Malignant neoplasms of meninges, brain and other parts of central nervous system",4.3
"- Non-Hodgkin lymphoma",2.1
"- Multiple myeloma and immunoproliferative neoplasms",1.2
"- Leukemia",2.4
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",1.3
Anemias,0.6
"Diabetes mellitus",15.5
"Nutritional deficiencies",0.5
Obesity,3.8
"Parkinson disease",0.2
"Alzheimer disease",0.3
"Major cardiovascular diseases",95.2
"- Diseases of heart",76.2
"- Essential hypertension and hypertensive renal disease",3.6
"- Cerebrovascular diseases",12.6
"- Atherosclerosis",0.2
"- Aortic aneurysm and dissection",1.6
"Influenza and pneumonia",5.1
"Chronic lower respiratory diseases",8.8
"Pneumonitis due to solids and liquids",1.3
"Chronic liver disease and cirrhosis",19.8
"- Alcoholic liver disease",13.8
"Cholelithiasis and other disorders of gallbladder",0.3
"Nephritis, nephrotic syndrome and nephrosis",5.6
"Pregnancy, childbirth and the puerperium",*
"Certain conditions originating in the perinatal period",*
"Congenital malformations, deformations and chromosomal abnormalities",1.7
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",4.4
"Accidents (unintentional injuries)",57.1
"- Motor vehicle accidents",12.9
"- Falls",3
"- Accidental discharge of firearms",0.2
"- Accidental drowning and submersion",1.1
"- Accidental hanging, strangulation, and suffocation",1
"- Accidental exposure to smoke, fire and flames",0.7
"- Accidental poisoning and exposure to noxious substances",34.5
"Intentional self–harm (suicide)",19.6
"- Intentional self–harm (suicide) by poisoning",3.4
"- Intentional self–harm (suicide) by hanging, strangulation and suffocation",5.6
"- Intentional self–harm (suicide) by discharge of firearms",8.8
"Assault (homicide)",5
"- Assault (homicide) by discharge of firearms",3.3
"Legal intervention",0.3
"Complications of medical and surgical care",1
"Dementia-related causes",0.9
"Drug-induced deaths",38.9
"- Drug overdose deaths",36.9
"Alcohol-induced deaths",22
"Injury by firearms",12.7
