"Cause of death",Rate
"All causes",4308.3
"Enterocolitis due to Clostridium difficile",8.7
Septicemia,64.5
"Viral hepatitis",2.2
"Human immunodeficiency virus (HIV) disease",1.4
"Malignant neoplasms",1005.9
"- Malignant neoplasms of lip, oral cavity and pharynx",13.9
"- Malignant neoplasm of esophagus",24.1
"- Malignant neoplasm of stomach",16.9
"- Malignant neoplasms of colon, rectum and anus",77.9
"- Malignant neoplasms of liver and intrahepatic bile ducts",38.8
"- Malignant neoplasm of pancreas",79.4
"- Malignant neoplasms of trachea, bronchus and lung",260.9
"- Malignant melanoma of skin",12.9
"- Malignant neoplasm of breast",55.2
"- Malignant neoplasm of cervix uteri",2.9
"- Malignant neoplasm of ovary",21.2
"- Malignant neoplasm of prostate",65.7
"- Malignant neoplasms of kidney and renal pelvis",23
"- Malignant neoplasm of bladder",33.4
"- Malignant neoplasms of meninges, brain and other parts of central nervous system",20.6
"- Non-Hodgkin lymphoma",41
"- Multiple myeloma and immunoproliferative neoplasms",26.9
"- Leukemia",44.4
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",30
Anemias,7.6
"Diabetes mellitus",138.9
"Nutritional deficiencies",17.4
Obesity,6
"Parkinson disease",93.3
"Alzheimer disease",210.2
"Major cardiovascular diseases",1339.3
"- Diseases of heart",991.2
"- Essential hypertension and hypertensive renal disease",54.3
"- Cerebrovascular diseases",254.2
"- Atherosclerosis",6.7
"- Aortic aneurysm and dissection",16.6
"Influenza and pneumonia",77.2
"Chronic lower respiratory diseases",318
"Pneumonitis due to solids and liquids",31.7
"Chronic liver disease and cirrhosis",32.2
"- Alcoholic liver disease",7.9
"Cholelithiasis and other disorders of gallbladder",6.6
"Nephritis, nephrotic syndrome and nephrosis",92.2
"Pregnancy, childbirth and the puerperium",*
"Certain conditions originating in the perinatal period",*
"Congenital malformations, deformations and chromosomal abnormalities",2.6
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",34.9
"Accidents (unintentional injuries)",115.5
"- Motor vehicle accidents",18.5
"- Falls",66.2
"- Accidental discharge of firearms",0.2
"- Accidental drowning and submersion",1.7
"- Accidental hanging, strangulation, and suffocation",8.1
"- Accidental exposure to smoke, fire and flames",2.5
"- Accidental poisoning and exposure to noxious substances",3
"Intentional self–harm (suicide)",18.6
"- Intentional self–harm (suicide) by poisoning",2.1
"- Intentional self–harm (suicide) by hanging, strangulation and suffocation",1.5
"- Intentional self–harm (suicide) by discharge of firearms",14.1
"Assault (homicide)",1.7
"- Assault (homicide) by discharge of firearms",0.7
"Legal intervention",*
"Complications of medical and surgical care",8.1
"Dementia-related causes",448.6
"Drug-induced deaths",5.2
"- Drug overdose deaths",4.2
"Alcohol-induced deaths",12.6
"Injury by firearms",15
