| Cause of death                                                                      | Rate  |
| ----------------------------------------------------------------------------------- | ----- |
| All causes                                                                          | 553   |
| Enterocolitis due to Clostridium difficile                                          | \*    |
| Septicemia                                                                          | 3.5   |
| Viral hepatitis                                                                     | \*    |
| Human immunodeficiency virus (HIV) disease                                          | \*    |
| Malignant neoplasms                                                                 | 1.5   |
| \- Malignant neoplasms of lip, oral cavity and pharynx                              | \*    |
| \- Malignant neoplasm of esophagus                                                  | \*    |
| \- Malignant neoplasm of stomach                                                    | \*    |
| \- Malignant neoplasms of colon, rectum and anus                                    | \*    |
| \- Malignant neoplasms of liver and intrahepatic bile ducts                         | \*    |
| \- Malignant neoplasm of pancreas                                                   | \*    |
| \- Malignant neoplasms of trachea, bronchus and lung                                | \*    |
| \- Malignant melanoma of skin                                                       | \*    |
| \- Malignant neoplasm of breast                                                     | \*    |
| \- Malignant neoplasm of cervix uteri                                               | \*    |
| \- Malignant neoplasm of ovary                                                      | \*    |
| \- Malignant neoplasm of prostate                                                   | \*    |
| \- Malignant neoplasms of kidney and renal pelvis                                   | \*    |
| \- Malignant neoplasm of bladder                                                    | \*    |
| \- Malignant neoplasms of meninges, brain and other parts of central nervous system | \*    |
| \- Non-Hodgkin lymphoma                                                             | \*    |
| \- Multiple myeloma and immunoproliferative neoplasms                               | \*    |
| \- Leukemia                                                                         | \*    |
| In situ and benign neoplasms, neoplasms of uncertain/unknown behavior               | 1.1   |
| Anemias                                                                             | \*    |
| Diabetes mellitus                                                                   | \*    |
| Nutritional deficiencies                                                            | \*    |
| Obesity                                                                             | \*    |
| Parkinson disease                                                                   | \*    |
| Alzheimer disease                                                                   | \*    |
| Major cardiovascular diseases                                                       | 10.2  |
| \- Diseases of heart                                                                | 7.1   |
| \- Essential hypertension and hypertensive renal disease                            | \*    |
| \- Cerebrovascular diseases                                                         | 2.7   |
| \- Atherosclerosis                                                                  | \*    |
| \- Aortic aneurysm and dissection                                                   | \*    |
| Influenza and pneumonia                                                             | 4.1   |
| Chronic lower respiratory diseases                                                  | \*    |
| Pneumonitis due to solids and liquids                                               | \*    |
| Chronic liver disease and cirrhosis                                                 | \*    |
| \- Alcoholic liver disease                                                          | \*    |
| Cholelithiasis and other disorders of gallbladder                                   | \*    |
| Nephritis, nephrotic syndrome and nephrosis                                         | 1.6   |
| Pregnancy, childbirth and the puerperium                                            | …     |
| Certain conditions originating in the perinatal period                              | 272.1 |
| Congenital malformations, deformations, chromosomal abnormalities                   | 113.7 |
| Symptoms, signs and abnormal clinical and laboratory findings, N.E.C.               | 64.8  |
| Accidents (unintentional injuries)                                                  | 33.5  |
| \- Motor vehicle accidents                                                          | 2     |
| \- Falls                                                                            | \*    |
| \- Accidental discharge of firearms                                                 | \*    |
| \- Accidental drowning and submersion                                               | 0.9   |
| \- Accidental hanging, strangulation, and suffocation                               | 28.9  |
| \- Accidental exposure to smoke, fire and flames                                    | \*    |
| \- Accidental poisoning and exposure to noxious substances                          | \*    |
| Intentional self–harm (suicide)                                                     | …     |
| \- Intentional self–harm (suicide) by poisoning                                     | …     |
| \- Intentional self–harm (suicide) by hanging, strangulation and suffocation        | …     |
| \- Intentional self–harm (suicide) by discharge of firearms                         | …     |
| Assault (homicide)                                                                  | 7     |
| \- Assault (homicide) by discharge of firearms                                      | \*    |
| Legal intervention                                                                  | \*    |
| Complications of medical and surgical care                                          | 0.8   |
| Dementia-related causes                                                             | \*    |
| Drug-induced deaths                                                                 | 1.3   |
| \- Drug overdose deaths                                                             | 1.3   |
| Alcohol-induced deaths                                                              | \*    |
| Injury by firearms                                                                  | \*    |
