"Cause of death",Rate
"All causes",883.3
"Enterocolitis due to Clostridium difficile",1
Septicemia,13.4
"Viral hepatitis",4.1
"Human immunodeficiency virus (HIV) disease",3.6
"Malignant neoplasms",263.3
"  Malignant neoplasms of lip, oral cavity and pharynx",6.4
"  Malignant neoplasm of esophagus",9
"  Malignant neoplasm of stomach",4.9
"  Malignant neoplasms of colon, rectum and anus",24.4
"  Malignant neoplasms of liver and intrahepatic bile ducts",16.8
"  Malignant neoplasm of pancreas",21.3
"  Malignant neoplasms of trachea, bronchus and lung",64.8
"  Malignant melanoma of skin",3.5
"  Malignant neoplasm of breast",21.1
"  Malignant neoplasm of cervix uteri",2.4
"  Malignant neoplasm of ovary",6.7
"  Malignant neoplasm of prostate",6.9
"  Malignant neoplasms of kidney and renal pelvis",6.2
"  Malignant neoplasm of bladder",4.2
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",9.4
"  Non-Hodgkin lymphoma",6
"  Multiple myeloma and immunoproliferative neoplasms",4.2
"  Leukemia",6.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",3.5
Anemias,1.1
"Diabetes mellitus",36.5
"Nutritional deficiencies",1.6
Obesity,5.4
"Parkinson disease",1.9
"Alzheimer disease",3
"Major cardiovascular diseases",237.5
"  Diseases of heart",190.4
"  Essential hypertension and hypertensive renal disease",9.8
"  Cerebrovascular diseases",30.5
"  Atherosclerosis",0.8
"  Aortic aneurysm and dissection",3.3
"Influenza and pneumonia",12.5
"Chronic lower respiratory diseases",44.2
"Pneumonitis due to solids and liquids",3.7
"Chronic liver disease and cirrhosis",33.9
"  Alcoholic liver disease",20.7
"Cholelithiasis and other disorders of gallbladder",0.9
"Nephritis, nephrotic syndrome and nephrosis",13.8
"Pregnancy, childbirth and the puerperium",*
"Certain conditions originating in the perinatal period",*
"Congenital malformations, deformations and chromosomal abnormalities",3
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",8
"Accidents (unintentional injuries)",58.6
"  Motor vehicle accidents",13.7
"  Falls",6.9
"  Accidental discharge of firearms",0.1
"  Accidental drowning and submersion",1.2
"  Accidental hanging, strangulation, and suffocation",2
"  Accidental exposure to smoke, fire and flames",1.3
"  Accidental poisoning and exposure to noxious substances",27.9
"Intentional self–harm (suicide)",19.4
"  Intentional self–harm (suicide) by poisoning",3.3
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",4.3
"  Intentional self–harm (suicide) by discharge of firearms",10
"Assault (homicide)",3.7
"  Assault (homicide) by discharge of firearms",1.9
"Legal intervention",0.1
"Complications of medical and surgical care",2.1
"Dementia-related causes",8.2
"Drug-induced deaths",32.7
"  Drug overdose deaths",30.4
"Alcohol-induced deaths",32.5
"Injury by firearms",12.3
