"Cause of death (both sexes, Postneonates)","Death rate (per 100000)"
"All causes",190
"Congenital malformations, deformations and chromosomal abnormalities",33.5
"Accidents (unintentional injuries)",30
"Sudden infant death syndrome",29.6
"Diseases of the circulatory system",8.7
"Assault (homicide)",6.6
"Diarrhea and gastroenteritis of infectious origin",4.8
"Influenza and pneumonia",4.2
"Chronic respiratory disease originating in the perinatal period",3.9
Septicemia,3.5
"Disorders related to short gestation and low birth weight, not elsewhere classified",1.9
"All other causes",63.3
