"Cause of death (males, Postneonates)","Death rate (per 100000)"
"All causes",208.1
"Accidents (unintentional injuries)",35.2
"Sudden infant death syndrome",33.6
"Congenital malformations, deformations and chromosomal abnormalities",32.8
"Diseases of the circulatory system",9.2
"Assault (homicide)",7.7
"Diarrhea and gastroenteritis of infectious origin",5.1
"Influenza and pneumonia",4.7
"Chronic respiratory disease originating in the perinatal period",4.5
Septicemia,3.5
"Disorders related to short gestation and low birth weight, not elsewhere classified",1.9
"All other causes",69.9
