| Age       | Mean  |
| --------- | ----- |
| 2.0-2.4   | 16.26 |
| 2.5-2.9   | 16.09 |
| 3.0-3.4   | 15.92 |
| 3.5-3.9   | 15.63 |
| 4.0-4.4   | 15.72 |
| 4.5-4.9   | 15.63 |
| 5.0-5.4   | 15.64 |
| 5.5-5.9   | 15.78 |
| 6.0-6.4   | 15.48 |
| 6.5-6.9   | 15.49 |
| 7.0-7.4   | 15.7  |
| 7.5-7.9   | 15.89 |
| 8.0-8.4   | 16.19 |
| 8.5-8.9   | 16.56 |
| 9.0-9.4   | 17.02 |
| 9.5-9.9   | 17.41 |
| 10.0-10.4 | 17.31 |
| 10.5-10.9 | 17.56 |
| 11.0-11.4 | 18.35 |
| 11.5-11.9 | 18.8  |
| 12.0-12.4 | 18.99 |
| 12.5-12.9 | 19.63 |
| 13.0-13.4 | 19.96 |
| 13.5-13.9 | 20.37 |
| 14.0-14.4 | 20.75 |
| 14.5-14.9 | 21.17 |
| 15.0-15.4 | 20.9  |
| 15.5-15.9 | 21.19 |
| 16.0-16.4 | 21.66 |
| 16.5-16.9 | 21.91 |
| 17.0-17.4 | 21.98 |
| 17.5-17.9 | 22.53 |
| 18.0-18.4 | 21.94 |
| 18.5-18.9 | 21.8  |
| 19.0-19.4 | 22.03 |
| 19.5-19.9 | 23.03 |
