Age,Total,"1st child","2nd child","3rd child","4th child","5th child","6th and 7th child","8th child and over"
10–14,0.2,0.2,*,*,*,*,*,*
15–19,16.7,14,2.3,0.3,0,0,*,*
15–17,6.7,6.2,0.5,0,*,*,*,*
18–19,31.1,25.4,5,0.7,0.1,0,*,*
20–24,66.6,35.6,21.3,7.3,1.9,0.4,0.1,0
25–29,93.7,35.1,31.1,17,6.9,2.4,1,0.1
30–34,98.3,30,33.7,19.3,8.9,3.6,2.3,0.5
35–39,52.8,11.8,17.5,11.6,6,2.8,2.1,0.9
40–44,12,2.5,3.4,2.5,1.6,0.9,0.7,0.5
45–49,0.9,0.3,0.3,0.1,0.1,0.1,0.1,0.1
"Fertility rate",58.3,22,18.8,10,4.4,1.7,1.1,0.4
