| Exact age | Life expectancy |
| --------- | --------------- |
| 0         | 78.8            |
| 1         | 78.3            |
| 5         | 74.4            |
| 10        | 69.4            |
| 15        | 64.5            |
| 20        | 59.6            |
| 25        | 54.9            |
| 30        | 50.2            |
| 35        | 45.5            |
| 40        | 40.9            |
| 45        | 36.3            |
| 50        | 31.8            |
| 55        | 27.5            |
| 60        | 23.5            |
| 65        | 19.6            |
| 70        | 15.9            |
| 75        | 12.4            |
| 80        | 9.3             |
| 85        | 6.7             |
| 90        | 4.6             |
| 95        | 3.2             |
| 100       | 2.2             |
