"Table 42. Folate intake in micrograms by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,277,2.7,226
"Under 6 years",6871,203,2.4,174
"6–11 years",3134,259,5.3,228
"12–19 years",3121,280,10.8,218
"20–59 years",10940,285,3.3,231
"60 years and over",5039,296,5.5,246
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,259,4.6,208
"Under 6 years",3145,210,4.7,179
"6–11 years",1446,277,12.1,239
"12–19 years",1345,253,9.8,207
"20–59 years",3329,273,7,214
"60 years and over",1431,255,11,200
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,283,3.5,232
"Under 6 years",3128,201,3.6,174
"6–11 years",1439,254,7,226
"12–19 years",1470,289,13.4,221
"20–59 years",6710,289,4.1,237
"60 years and over",3024,307,6.5,257
,,,,
"MALES -------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,317,4.4,262
"Under 6 years",3410,209,3.3,181
"6–11 years",1581,279,8.6,246
"12–19 years",1462,331,17.2,267
"20–59 years",5019,335,4.8,278
"60 years and over",2451,329,7,271
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,296,9.7,238
"Under 6 years",1564,220,6.9,184
"6–11 years",713,290,16.4,245
"12–19 years",634,279,14.1,234
"20–59 years",1390,338,14,262
"60 years and over",628,267,12.2,214
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,324,5.5,268
"Under 6 years",1548,204,4.3,181
"6–11 years",746,280,9.7,251
"12–19 years",674,351,21.7,284
"20–59 years",3226,336,6.3,281
"60 years and over",1576,337,8.7,278
,,,,
"FEMALES ---------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,239,2.8,195
"Under 6 years",3461,196,3,169
"6–11 years",1553,238,7.5,206
"12–19 years",1659,227,9.1,186
"20–59 years",5921,237,4.3,191
"60 years and over",2588,272,6.8,228
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,230,4.1,185
"Under 6 years",1581,198,5.2,173
"6–11 years",733,265,18.3,230
"12–19 years",711,230,13.5,182
"20–59 years",1939,223,5.7,175
"60 years and over",803,249,14.5,197
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,242,3.6,198
"Under 6 years",1580,197,4.4,166
"6–11 years",693,225,8.4,192
"12–19 years",796,223,10.8,184
"20–59 years",3484,241,5.1,194
"60 years and over",1448,282,8,240
