"Mechanism and intent of death",Number,Rate,"Age-adjusted rate"
"All injury",246041,75,71.2
Unintentional,173040,52.7,49.3
Suicide,47511,14.5,13.9
Homicide,19141,5.8,6
Undetermined,5683,1.7,1.7
"Legal intervention/war",666,0.2,0.2
Poisoning,75795,23.1,23.2
Unintentional,65773,20,20.2
Suicide,6125,1.9,1.8
Homicide,159,0,0
Undetermined,3736,1.1,1.1
"Legal intervention/war",2,*,*
"Motor vehicle traffic",37595,11.5,11.1
Occupant,8760,2.7,2.6
Motorcyclist,4576,1.4,1.4
"Pedal cyclist",712,0.2,0.2
Pedestrian,6681,2,2
Other,10,*,*
Unspecified,16856,5.1,5
Firearm,39707,12.1,11.9
Unintentional,486,0.1,0.2
Suicide,23941,7.3,6.8
Homicide,14414,4.4,4.6
Undetermined,346,0.1,0.1
"Legal intervention/war",520,0.2,0.2
Fall,40727,12.4,10.2
Unintentional,39443,12,9.8
Suicide,1183,0.4,0.3
Homicide,12,*,*
Undetermined,89,0,0
