Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",532,15.3,0.1,13.6,14,14.2,14.6,15.3,15.8,16.2,16.4,16.9
"3 years",487,16.2,0.09,14.4,14.8,15.1,15.4,16.3,16.8,17.1,17.4,17.8
"4 years",543,16.8,0.09,15.2,15.4,15.7,16.1,16.8,17.5,18,18.3,18.6
"5 years",491,17.7,0.11,15.7,16,16.4,16.8,17.7,18.4,18.9,19.2,19.6
"6 years",277,18.4,0.19,*,16.5,16.8,17.2,18.2,18.9,19.8,20.6,*
"7 years",268,19.6,0.19,*,17.4,18,18.5,19.5,20.6,21.2,21.6,*
"8 years",261,20,0.21,*,18.2,18.4,18.9,20,21,21.7,22.2,*
"9 years",272,21.3,0.25,*,18.9,19.3,19.9,21,22.8,23.1,23.9,*
"10 years",292,21.7,0.23,*,19.4,19.5,20.1,21.7,22.8,23.5,24.9,*
"11 years",281,22.8,0.25,*,20.3,20.9,21.4,22.4,24,25.1,25.8,*
"12 years",202,24.3,0.33,*,*,22,22.4,24.1,26,26.8,*,*
"13 years",181,25.3,0.37,*,*,22.4,23.2,25.2,26.9,27.4,*,*
"14 years",185,26.6,0.53,*,*,24.1,25,26,27.3,28.5,*,*
"15 years",183,27,0.38,*,*,24.3,25.2,26.6,28.6,30,*,*
"16 years",192,27.4,0.41,*,*,24.9,25.5,27.2,28.9,29.4,*,*
"17 years",192,27.7,0.43,*,*,24.7,26.3,27.6,28.9,29.6,*,*
"18 years",169,27.6,0.37,*,*,25.3,25.9,27.5,29.3,30.3,*,*
"19 years",161,27.9,0.4,*,*,25.5,26.2,27.4,29.4,30.6,*,*
"20 years and older",7429,29.6,0.07,25.3,26.2,26.8,27.7,29.4,31.3,32.3,33.1,34.5
"20–29 years",1583,28.5,0.12,24.6,25.4,26.1,26.7,28.2,29.8,31,32,33.4
"30–39 years",1434,29.1,0.13,25.1,25.9,26.5,27.5,29.1,30.3,31.4,32.2,33.7
"40–49 years",1174,29.9,0.14,25.5,26.5,27,28,29.7,31.4,32.6,33.6,35.1
"50–59 years",816,30.5,0.15,26.2,27.3,27.9,28.9,30.5,32.1,32.8,33.4,34.6
"60–69 years",1100,30.8,0.13,26.9,27.6,28.3,29.1,30.8,32.3,33.2,33.9,35.1
"70–79 years",780,30.7,0.15,26.9,27.9,28.3,29.2,30.7,32.2,33,33.3,34.4
"80 years and older",542,30.6,0.17,26.4,27.4,28.4,29.3,30.6,32.1,32.9,33.4,34.3
