Diseases,Total,"Under 1",1-4,5-9,10-14,15-19,20-24,25–34,35–44,45–54,55–64,65AndOver,65–74,75–84,"85 and over"
Pneumonia,10.6,10.1,15.1,9,8.2,10.8,10.4,10.1,11.9,12,10.4,8.3,9.2,7.8,6.1
"Consumption (Tuberculosis)",9.7,0.9,2.1,2.8,5.9,17.9,27.1,28.9,22.4,15,9.3,3.8,5.3,2.5,1.1
"Diseases of the heart",6.6,1.5,0.7,2.8,4.3,3.5,3.1,4.3,6.4,9.5,13.5,13.9,15.4,13.3,8.2
"Bright’s disease",3.4,,,1.5,1.6,1.5,1.9,3,4.7,6.4,7.9,6.4,7.6,5.8,3
"Typhoid fever",3.4,0.5,2.3,6.6,9.9,12.9,12.1,8.2,4.9,3,1.5,0.6,0.8,0.5,0.3
"Apoplexy (nervous system)",2.6,0.1,0.1,0.2,0.2,0.4,0.5,1,2.2,4.1,6.1,6.5,7,6.5,4.2
"Cholera infantum",2.5,9,6.1,,,,,,,,,,,,
"Old age",2.4,,,,,,,,,,0.4,11.7,3.9,15.2,36.7
"Paralysis (nervous system)",2.1,0.1,0.2,0.5,0.5,0.4,0.3,0.6,1.6,2.5,3.9,6.3,6,6.9,5
Cancer,2.1,0,0.1,0.2,0.3,0.3,0.3,0.8,2.1,4.5,5.8,4.2,5.2,3.5,2.2
Meningitis,2,3.2,5.1,5.3,3.9,2.4,1.3,1.2,1,0.8,0.4,0.2,0.3,0.2,0.1
Enteritis,1.9,5.4,3.6,1.2,0.8,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5
Bronchitis,1.8,3.7,3.1,1,0.5,0.4,0.4,0.4,0.5,0.8,1.2,2,1.7,2.2,2.2
