Age,"Adult BMI (5th)","Adult BMI (50th)","Adult BMI (95th)"
Birth,*44,*49,*52
"2 months",*63,*75,*70
"3 months",*60,*69,*72
"4 months",*63,*66,*68
"5 months",*62,*67,*71
"6 months",*63,*69,*78
"7 months",*62,*67,*69
"8 months",*62,*69,*72
"9 months",*66,*67,*70
"10 months",*63,*66,*72
"11 months",*64,*67,*69
"1 year",*64,*65,*66
"2 years",56,63,70
"3 years",54,61,70
"4 years",53,60,68
"5 years",52,60,70
"6 years",51,62,70
"7 years",53,63,76
"8 years",53,66,84
"9 years",53,68,92
"10 years",52,70,93
"11 years",54,73,98
"12 years",59,76,97
"13 years",58,78,105
"14 years",60,84,104
"15 years",66,84,109
"16 years",65,84,108
"17 years",87,88,120
"18 years",64,85,112
"19 years",70,90,112
"20 years and over",77,100,132
"20–29 years",73,95,127
"30–39 years",78,100,134
"40–49 years",80,103,137
"50–59 years",81,105,135
"60–69 years",78,103,129
"70–79 years",77,101,132
"80 years and over",70,94,120
