Age,"Adult BMI (5th)","Adult BMI (50th)","Adult BMI (95th)"
Birth,*47,*52,*56
"2 months",*64,*68,*67
"3 months",*68,*68,*74
"4 months",*64,*68,*74
"5 months",*66,*69,*76
"6 months",*66,*68,*72
"7 months",*66,*70,*76
"8 months",*65,*70,*74
"9 months",*67,*70,*74
"10 months",*66,*70,*75
"11 months",*64,*68,*71
"1 year",*66,*66,*68
"2 years",58,65,75
"3 years",55,64,74
"4 years",55,63,73
"5 years",54,62,77
"6 years",54,62,78
"7 years",53,64,91
"8 years",54,67,88
"9 years",56,67,100
"10 years",53,70,101
"11 years",56,74,107
"12 years",54,78,108
"13 years",62,82,124
"14 years",67,85,119
"15 years",66,84,114
"16 years",75,85,122
"17 years",70,89,121
"18 years",-,88,-
"19 years",-,90,-
"20 years and over",74,100,144
"20–29 years",75,92,159
"30–39 years",77,98,160
"40–49 years",80,102,163
"50–59 years",79,109,155
"60–69 years",78,107,156
"70–79 years",71,104,135
"80 years and over",76,100,156
