Age,"Sample size",Mean,"Standard error",Median
"All ages",29103,12.5,0.07,12.5
"2–11 months",1620,9.7,0.23,8.1
"1–2 years",2310,12,0.14,11.8
"3–5 years",2941,12.2,0.13,12
"6–11 years",3134,12.6,0.09,12.5
"12–15 years",1598,12.6,0.15,12.4
"16–19 years",1521,12.7,0.14,12.7
"20–29 years",3400,12.4,0.13,12.4
"30–39 years",3238,12.9,0.14,12.9
"40–49 years",2503,12.9,0.19,12.9
"50–59 years",1799,12.6,0.15,12.7
"60–69 years",2208,12.2,0.14,12.1
"70–79 years",1678,12.2,0.18,12.1
"80 years and over",1153,11.9,0.11,12
