| Diagnosis group                                                                                    | Number |
| -------------------------------------------------------------------------------------------------- | ------ |
| All visits                                                                                         | 95551  |
| Infectious and parasitic diseases                                                                  | 3170   |
| Streptococcal sore throat                                                                          | 348    |
| Human immunodeficiency virus disease (HIV)                                                         | \*701  |
| Viral warts                                                                                        | 154    |
| Unspecified viral and chlamydial infection                                                         | 392    |
| Dermatophytosis                                                                                    | 211    |
| Candidiasis                                                                                        | 143    |
| Other infectious and parasitic diseases                                                            | 1220   |
| Neoplasms                                                                                          | 3950   |
| Malignant neoplasms of colon and rectum                                                            | 262    |
| Malignant neoplasm of skin                                                                         | 158    |
| Malignant neoplasm of breast                                                                       | 707    |
| Malignant neoplasm of prostate                                                                     | \*236  |
| Malignant neoplasm of lymphatic and hematopoietic tissue                                           | 600    |
| Other malignant neoplasms                                                                          | 1152   |
| Benign neoplasm of skin                                                                            | 116    |
| Other benign neoplasm                                                                              | 477    |
| Neoplasm of uncertain behavior and unspecified nature                                              | 241    |
| Endocrine, nutritional/metabolic diseases, immunity disorders                                      | 6304   |
| Acquired hypothyroidism                                                                            | 390    |
| Other disorders of thyroid gland                                                                   | 243    |
| Diabetes mellitus                                                                                  | 3694   |
| Disorders of lipoid metabolism                                                                     | 682    |
| Obesity                                                                                            | 552    |
| Other endocrine, nutritional/metabolic diseases, immunity disorders                                | 743    |
| Diseases of the blood and blood-forming organs                                                     | 863    |
| Anemias                                                                                            | 608    |
| Other diseases of the blood and blood-forming organs                                               | 254    |
| Mental disorders                                                                                   | 7553   |
| Schizophrenic disorders                                                                            | 460    |
| Major depressive disorder                                                                          | 1077   |
| Other psychoses                                                                                    | 1323   |
| Anxiety states                                                                                     | 572    |
| Neurotic depression                                                                                | 370    |
| Alcohol dependence syndrome                                                                        | \*290  |
| Drug dependence and nondependent abuse of drugs                                                    | \*869  |
| Acute reaction to stress and adjustment reaction                                                   | 559    |
| Depressive disorder, not elsewhere classified                                                      | 800    |
| Attention deficit disorder                                                                         | 800    |
| Other mental disorders                                                                             | 434    |
| Diseases of the nervous system and sense organs                                                    | 6121   |
| Migraine                                                                                           | 308    |
| Other disorders of the central nervous system                                                      | 1180   |
| Carpal tunnel syndrome                                                                             | 155    |
| Other disorders of the peripheral nervous system                                                   | 271    |
| Retinal detachment and other retinal disorders                                                     | 179    |
| Glaucoma                                                                                           | 252    |
| Cataract                                                                                           | 272    |
| Disorders of refraction and accommodation                                                          | 168    |
| Conjunctivitis                                                                                     | 447    |
| Disorder of eyelids                                                                                | 159    |
| Other disorders of the eye and adnexa                                                              | 617    |
| Disorders of external ear                                                                          | 388    |
| Otitis media and eustachian tube disorders                                                         | 1396   |
| Other disorders of the ear and mastoid process                                                     | 330    |
| Diseases of the circulatory system                                                                 | 7281   |
| Angina pectoris                                                                                    | \*     |
| Coronary atherosclerosis                                                                           | 606    |
| Other ischemic heart disease                                                                       | 126    |
| Cardiac dysrhythmias                                                                               | 679    |
| Congestive heart failure                                                                           | 309    |
| Other heart disease                                                                                | 469    |
| Essential hypertension                                                                             | 3645   |
| Cerebrovascular disease                                                                            | 213    |
| Diseases of the arteries, arterioles and capillaries                                               | 286    |
| Hemorrhoids                                                                                        | 133    |
| Other diseases of the circulatory system                                                           | \*772  |
| Diseases of the respiratory system                                                                 | 9391   |
| Acute sinusitis                                                                                    | 515    |
| Acute pharyngitis                                                                                  | 1086   |
| Acute tonsillitis                                                                                  | \*139  |
| Acute bronchitis and bronchiolitis                                                                 | 436    |
| Other acute respiratory infections                                                                 | 2019   |
| Chronic sinusitis                                                                                  | 1302   |
| Allergic rhinitis                                                                                  | 637    |
| Pneumonia                                                                                          | 243    |
| Chronic and unspecified bronchitis                                                                 | 789    |
| Asthma                                                                                             | 1250   |
| Other chronic obstructive pulmonary disease and allied conditions                                  | 264    |
| Other diseases of the respiratory system                                                           | 709    |
| Diseases of the digestive system                                                                   | 3090   |
| Diseases of the teeth and supporting structures                                                    | 280    |
| Gastritis and duodenitis                                                                           | 124    |
| Esophagitis                                                                                        | \*     |
| Ulcer of stomach and small intestine                                                               | \*     |
| Hernia of abdominal cavity                                                                         | 287    |
| Noninfectious enteritis and colitis                                                                | 409    |
| Diverticula of intestine                                                                           | \*115  |
| Constipation                                                                                       | 268    |
| Irritable bowel syndrome                                                                           | 72     |
| Anal and rectal diseases                                                                           | 115    |
| Disorder of gallbladder and biliary tract                                                          | 137    |
| Gastrointestinal hemorrhage                                                                        | \*119  |
| Other diseases of the digestive system                                                             | 1028   |
| Diseases of the genitourinary system                                                               | 3955   |
| Calculus of kidney and ureter                                                                      | 144    |
| Cystitis and other disorders of the bladder                                                        | 99     |
| Urinary tract infection, site not specified                                                        | 633    |
| Other diseases of the urinary system                                                               | 494    |
