"Diagnosis group","Number of visits in thousands"
"All visits",209864
"Infectious and parasitic diseases",3970
"Streptococcal sore throat",*
"Human immunodeficiency virus disease (HIV)",*
"Viral warts",1180
"Unspecified viral and chlamydial infection",*
Dermatophytosis,*
Candidiasis,*
"Other infectious and parasitic diseases",1705
Neoplasms,19271
"Malignant neoplasms of colon and rectum",1462
"Malignant neoplasm of skin",3666
"Malignant neoplasm of breast",2812
"Malignant neoplasm of prostate",658
"Malignant neoplasm of lymphatic and hematopoietic tissue",2006
"Other malignant neoplasms",4356
"Benign neoplasm of skin",1980
"Other benign neoplasm",928
"Neoplasm of uncertain behavior and unspecified nature",1404
"Endocrine, nutritional and metabolic diseases, and immunity disorders",5485
"Acquired hypothyroidism",*
"Other disorders of thyroid gland",*
"Diabetes mellitus",1746
"Disorders of lipoid metabolism",1221
Obesity,*809
"Other endocrine, nutritional and metabolic diseases, and immunity disorders",1162
"Diseases of the blood and blood-forming organs",2686
Anemias,1964
"Other diseases of the blood and blood-forming organs",722
"Mental disorders",28393
"Schizophrenic disorders",1599
"Major depressive disorder",6282
"Other psychoses",6036
"Anxiety states",2700
"Neurotic depression",1693
"Alcohol dependence syndrome",*
"Drug dependence and nondependent abuse of drugs",*389
"Acute reaction to stress and adjustment reaction",1668
"Depressive disorder, not elsewhere classified",2550
"Attention deficit disorder",2662
"Other mental disorders",2779
"Diseases of the nervous system and sense organs",10816
Migraine,1389
"Other disorders of the central nervous system",5174
"Carpal tunnel syndrome",689
"Other disorders of the peripheral nervous system",1481
"Retinal detachment and other retinal disorders",*
Glaucoma,*
Cataract,–
"Disorders of refraction and accommodation",*
Conjunctivitis,*
"Disorder of eyelids",*
"Other disorders of the eye and adnexa",*774
"Disorders of external ear",*
"Otitis media and eustachian tube disorders",*
"Other disorders of the ear and mastoid process",*
"Diseases of the circulatory system",24785
"Angina pectoris",457
"Coronary atherosclerosis",6234
"Other ischemic heart disease",1348
"Cardiac dysrhythmias",3300
"Congestive heart failure",885
"Other heart disease",3351
"Essential hypertension",5245
"Cerebrovascular disease",865
"Diseases of the arteries, arterioles and capillaries",577
Hemorrhoids,*
"Other diseases of the circulatory system","*1,920"
"Diseases of the respiratory system",16135
"Acute sinusitis",*
"Acute pharyngitis",*
"Acute tonsillitis",–
"Acute bronchitis and bronchiolitis",*
"Other acute respiratory infections",*
"Chronic sinusitis",*
"Allergic rhinitis","*5,310"
Pneumonia,*
"Chronic and unspecified bronchitis",792
Asthma,4314
"Other chronic obstructive pulmonary disease and allied conditions",2226
"Other diseases of the respiratory system",1582
"Diseases of the digestive system",9271
"Diseases of the teeth and supporting structures",*
"Gastritis and duodenitis",*
Esophagitis,*
"Ulcer of stomach and small intestine",*
"Hernia of abdominal cavity",*
"Noninfectious enteritis and colitis","*1,046"
"Diverticula of intestine",*
Constipation,*
"Irritable bowel syndrome",*
"Anal and rectal diseases",*
"Disorder of gallbladder and biliary tract",*
"Gastrointestinal hemorrhage",*
"Other diseases of the digestive system",3802
"Diseases of the genitourinary system",2771
"Calculus of kidney and ureter",*
"Cystitis and other disorders of the bladder",–
"Urinary tract infection, site not specified",*
"Other diseases of the urinary system",1751
"Hyperplasia of prostate",*
"Other disorders of male genital organs",*
"Disorders of the breast",*
"Inflammatory disease of female pelvic organs",–
"Noninflammatory disorders of the female genital organs",*
"Disorders of menstruation and abnormal bleeding",*
"Menopausal and postmenopausal disorders",*
"Other disorders of female genital tract",*
"Complications of pregnancy, childbirth, and the puerperium",*
"Diseases of the skin and subcutaneous tissue",22348
"Cellulitis and abscess",576
"Other infection of the skin and subcutaneous tissue",*
"Contact dermatitis and other eczema",3592
"Psoriasis and similar disorders",1610
"Other inflammatory conditions of skin and subcutaneous tissue",2765
"Corns, callosities, other hypertrophic and atrophic skin conditions",884
"Actinic and seborrheic keratosis",5374
Acne,3394
"Sebaceous cyst",510
Urticaria,*
"Other disorders of the skin and subcutaneous tissue",2933
"Diseases of the musculoskeletal system and connective tissue",14811
"Rheumatoid arthritis","*1,991"
"Osteoarthrosis and allied disorders","*1,689"
"Other arthropathies and related disorders","*1,502"
"Derangements and other unspecified disorders of joints","*1,076"
"Intervertebral disc disorders",801
Lumbago,*803
"Other dorsopathies",3492
"Peripheral enthesopathies",*
