Age,"All births","under 37","Under 28",28–31,32–33,34–36,37–41,37–38,39–40,41,"42 and over","Not stated (number)"
Number,3747540,383061,24758,34748,44253,279302,3352638,1022874,2135518,194246,9435,2406
"All ages",,10.23,0.66,0.93,1.18,7.46,89.52,27.31,57.02,5.19,0.25,
"Under 15",1787,14.39,1.74,1.8,1.69,9.16,85.44,30.35,49.97,5.12,0.17,8
15-19,171674,10.35,0.87,1.03,1.21,7.24,89.47,27.13,56.61,5.73,0.18,135
20–24,704342,9.88,0.7,0.9,1.11,7.17,89.91,27.19,57.45,5.26,0.21,467
25–29,1078097,9.58,0.63,0.85,1.08,7.03,90.16,26.81,57.99,5.37,0.25,741
30–34,1089281,9.84,0.6,0.88,1.15,7.21,89.89,26.62,57.66,5.6,0.27,586
35–39,572598,11.58,0.67,1.06,1.38,8.47,88.14,28.71,55,4.43,0.28,372
40–44,120152,13.98,0.83,1.35,1.75,10.04,85.75,31.79,51.49,2.48,0.27,89
45–54,9609,21.72,1.14,2.27,2.82,15.49,78.08,34.11,42.16,1.8,0.21,8
