"Table 17. Births, by method of delivery: United States, 2010–2019, and by race and Hispanic origin of mother: United States,",
,
,
,
,
"Method of delivery",Number
"All births",3747540
"Vaginal : Total",2558882
"Vaginal : After previous cesarean",80140
"Cesarean : Total",1186397
"Cesarean : Primary",683900
"Cesarean : Low-risk",314016
"Not stated",2261
,
,
,
"Method of delivery",Percent
"Vaginal : After previous cesarean",13.8
"Cesarean : Total",31.7
"Cesarean : Primary",21.6
"Cesarean : Low-risk",25.6
