Age,"Total births",Singleton,"Twin births","Triplet and higher-order births","Multiple birth rate (Per 1,000)","Twin birth rate (Per 1,000)","Triplet and higher-order birth rate (Per 100,000)"
"All ages",3747540,3623963,120291,3286,33,32.1,87.7
"Under 15",1787,1778,9,–,5,5,0
15–19,171674,168898,2764,12,16.2,16.1,7
15–17,41081,40521,557,3,13.6,13.6,7.3
18–19,130593,128377,2207,9,17,16.9,6.9
20–24,704342,687636,16419,287,23.7,23.3,40.7
25–29,1078097,1044901,32413,783,30.8,30.1,72.6
30–34,1089281,1048876,39288,1117,37.1,36.1,102.5
35–39,572598,548270,23501,827,42.5,41,144.4
40–44,120152,115095,4869,188,42.1,40.5,156.5
45–54,9609,8509,1028,72,114.5,107,749.3
