Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,22.8,0.19,19.9
"2–11 months",1620,12.2,0.19,11
"1–2 years",2310,12.7,0.17,11.5
"3–5 years",2941,16.3,0.26,15.1
"6–11 years",3134,19.6,0.29,18
"12–15 years",1599,23,0.78,19.8
"16–19 years",1522,24.8,0.77,21.5
"20–29 years",3400,25.8,0.45,22.4
"30–39 years",3238,25.1,0.41,22.3
"40–49 years",2503,24.4,0.49,22
"50–59 years",1799,24.1,0.51,21.3
"60–69 years",2208,22,0.42,19.8
"70–79 years",1678,20,0.36,18
"80 years and over",1153,19.4,0.4,17.1
