Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,18.9,0.21,16.9
"2–11 months",805,11.7,0.27,10.6
"1–2 years",1139,12.2,0.27,11.3
"3–5 years",1517,15.5,0.29,14.3
"6–11 years",1553,17.8,0.3,16.4
"12–15 years",848,18.8,0.7,17.1
"16–19 years",811,18.6,0.61,16.7
"20–29 years",1813,20.3,0.47,17.9
"30–39 years",1814,20.2,0.47,18.2
"40–49 years",1315,20,0.66,17.9
"50–59 years",979,19.4,0.54,18.3
"60–69 years",1097,18.9,0.52,16.9
"70–79 years",895,18,0.37,16.7
"80 years and over",596,17.7,0.45,15.5
