Age,Mean,"Standard deviation","Standard error",5th,10th,25th,50th,75th,90th,95th,"Population in thousands"
"6 years",61,8.7,0.7,49,49.6,54.6,59.6,65.7,70,75.8,
"7-11 years",64.7,9.8,0.61,48,49.8,59.1,64,69.8,77.6,79.7,20275
"7 years",63,9.6,1,43.9,49.8,57.5,60,69.5,74.8,79.2,4069
"8 years",62.9,10.1,0.9,45.6,49.4,57.2,61.4,69.5,75.9,79.6,3515
"9 years",65.4,10,0.9,47.8,49.8,59.2,67.1,71.1,77.7,79.6,3839
"10 years",65.1,9,0.74,49.1,51.5,59.3,65.2,69.8,75.8,79.4,4558
"11 years",66.6,9.9,0.8,49.4,51.3,59.4,67.1,73.2,79.6,81.5,4294
"12-17 years",69.8,9.9,0.4,53.3,57.6,61.6,69.5,77.1,81.2,82.5,25070
"12 years",67.4,8.8,0.63,49.9,57.1,59.8,69,71.9,79.2,79.9,4304
"13 years",68.9,10,0.73,53.4,57.3,59.7,69.3,75.8,79.9,84.6,4353
"14 years",68.5,9.6,0.66,49.9,55.8,61.1,69.1,75.2,79.7,81.8,4259
"15 years",70.6,9.6,0.61,55.1,57.9,63.5,69.6,77.3,82,85.8,4198
"16 years",71.1,9.5,0.66,54,59.1,65.1,69.8,77.8,81.8,84.7,4109
"17 years",72.6,11,0.89,55.5,59.1,65.7,71.7,79.4,85.2,89.4,3847
"18-74 years",81.4,13,0.28,59.8,65.9,71.7,79.6,89.1,97.9,103.8,127937
"18-24 years",73.8,10.4,0.41,57.4,59.5,67.5,73.6,79.6,85.6,89.5,23462
"25-34 years",77.8,10.9,0.3,59.6,63.9,69.6,77.8,83.9,89.7,95.3,26762
"35-44 years",82.4,12.2,0.39,61.9,69,73.6,79.9,89.2,99,104,22575
"45-54 years",85.7,13.6,0.6,67.1,69.6,77.4,83.8,91.6,101.9,109.4,23524
"55-64 years",86.7,12.5,0.47,69.2,71,79,85.2,94.2,101.5,109.1,18841
"65-74 years",85.7,13,0.5,67.2,69.5,77.4,83.8,93.4,100,109.1,12773
"40-74 years",85.5,12.9,0.37,67.2,69.6,77.4,83.7,91.8,100,109.1,66597
