Activities,"Average hours per day spent, with presence of household children","Average hours per day spent, with presence of household children under 6","Average hours per day spent, with presence of household children 6 to 17","Average hours per day spent, with absence of household children"
"Total, all activities",24,24,24,24
"Personal care activities",9.56,9.44,9.66,9.88
"– Sleeping",8.76,8.73,8.79,8.93
"Eating and drinking",1.12,1.07,1.16,1.2
"Household activities",2.33,2.5,2.2,2.18
"– Housework",0.92,1,0.87,0.74
"– Food preparation and cleanup",1.02,1.14,0.93,0.72
"– Lawn and garden care",0.06,0.05,0.07,0.14
"– Household management",0.15,0.15,0.15,0.22
"Purchasing goods and services",0.83,0.65,0.96,0.94
"– Consumer goods purchases",0.42,0.34,0.48,0.44
"– Professional and personal care services",0.09,0.07,0.1,0.15
"Caring for and helping household members",1.8,2.82,1.05,0.08
"– Caring for and helping household children",1.49,2.48,0.75,–
"Caring for and helping nonhousehold members",0.12,0.11,0.12,0.28
"– Caring for and helping nonhousehold adults",0.05,0.06,0.05,0.08
"Working and work-related activities",3.35,2.95,3.65,2.87
"– Working",3.06,2.71,3.32,2.6
"Educational activities",0.36,0.17,0.51,0.22
"– Attending class",0.14,–,0.22,0.07
"– Homework and research",0.2,0.12,0.26,0.13
"Organizational, civic, and religious activities",0.34,0.26,0.4,0.37
"– Religious and spiritual activities",0.16,0.12,0.18,0.18
"– Volunteering (organizational and civic activities)",0.13,0.09,0.16,0.15
"Leisure and sports",3.7,3.56,3.81,5.49
"– Socializing and communicating",0.57,0.56,0.58,0.68
"– Watching television",1.94,1.82,2.03,3.08
"– Participating in sports, exercise, and recreation",0.22,0.2,0.23,0.22
"Telephone calls, mail, and e-mail",0.14,0.1,0.17,0.21
"Other activities, not elsewhere classified",0.35,0.37,0.33,0.29
