| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.11           |
| 3     | 0.19           |
| 4     | 0.19           |
| 5     | 0.23           |
| 6     | 0.6            |
| 7     | 0.69           |
| 8     | 0.72           |
| 9     | 0.97           |
| 10    | 0.9            |
| 11    | 1.03           |
| 12    | 1.24           |
| 13    | 1.28           |
| 14    | 1.04           |
| 15    | 1.38           |
| 16    | 1.22           |
| 17    | 1.34           |
| 18    | 1.25           |
| 19    | 1.55           |
| 20+   | 0.23           |
| 20–29 | 0.42           |
| 30–39 | 0.41           |
| 40–49 | 0.44           |
| 50–59 | 0.5            |
| 60–69 | 0.4            |
| 70–79 | 0.46           |
| 80+   | 0.46           |
