| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.2            |
| 3     | 0.29           |
| 4     | 0.39           |
| 5     | 0.35           |
| 6     | 0.73           |
| 7     | 0.99           |
| 8     | 0.93           |
| 9     | 1.18           |
| 10    | 1.2            |
| 11    | 1.15           |
| 12    | 1.29           |
| 13    | 1.34           |
| 14    | 1.32           |
| 15    | 1.38           |
| 16    | 1.26           |
| 17    | 1.31           |
| 18    | 1.37           |
| 19    | 1.43           |
| 20+   | 0.24           |
| 20–29 | 0.38           |
| 30–39 | 0.41           |
| 40–49 | 0.46           |
| 50–59 | 0.5            |
| 60–69 | 0.44           |
| 70–79 | 0.48           |
| 80+   | 0.48           |
