Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,12.7,0.1,12.7
"2–11 months",815,9.7,0.23,8.1
"1–2 years",1171,11.8,0.16,11.6
"3–5 years",1424,12.2,0.17,12.1
"6–11 years",1581,12.7,0.12,12.5
"12–15 years",750,12.5,0.2,12.3
"16–19 years",711,12.9,0.19,12.9
"20–29 years",1587,12.6,0.19,12.7
"30–39 years",1424,13.2,0.19,13.3
"40–49 years",1188,12.9,0.24,12.9
"50–59 years",820,13.2,0.22,13.2
"60–69 years",1111,12.5,0.23,12.3
"70–79 years",783,12.8,0.2,13
"80 years and over",557,12.5,0.19,12.7
