"Cause of death (both sexes, 45–54 years)",Number,"Percent of total deaths","Death rate"
"All causes",160393,100,392.4
"Malignant neoplasms",35587,22.2,87.1
"Diseases of heart",31138,19.4,76.2
"Accidents (unintentional injuries)",23359,14.6,57.1
"Chronic liver disease and cirrhosis",8098,5,19.8
"Intentional self-harm (suicide)",8012,5,19.6
"Diabetes mellitus",6348,4,15.5
"Cerebrovascular diseases",5153,3.2,12.6
"Chronic lower respiratory diseases",3592,2.2,8.8
"Nephritis, nephrotic syndrome and nephrosis",2269,1.4,5.6
Septicemia,2176,1.4,5.3
"All other causes",34661,21.6,84.8
