"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",12561,100,66.7
"Accidents (unintentional injuries)",2710,21.6,14.4
"Malignant neoplasms",2062,16.4,11
"Diseases of heart",1036,8.2,5.5
"Intentional self-harm (suicide)",854,6.8,4.5
"Human immunodeficiency virus (HIV) disease",835,6.6,4.4
"Assault (homicide)",803,6.4,4.3
"Cerebrovascular diseases",294,2.3,1.6
"Diabetes mellitus",247,2,1.3
"Congenital malformations, deformations and chromosomal abnormalities",198,1.6,1.1
"Pregnancy, childbirth and the puerperium.",182,1.4,1
"All other causes",3340,26.6,17.7
