Age,"Northeast : Mean","Northeast : standard error","Northeast : standard deviation","Midwest : Mean","Midwest : standard error","Midwest : standard deviation","South : Mean","South : standard error","South : standard deviation","West : Mean","West : standard error","West : standard deviation"
"7-74 years",123.4,0.91,22.8,124.2,0.65,21.2,127.7,0.86,23.3,122.5,0.94,21.1
"7-11 years",100.5,1.18,11.8,103.7,0.74,10.5,106.6,1.52,12,102.8,1.75,13.5
"12-17 years",110.9,0.85,12.7,114.2,0.9,13.3,115.1,1.52,14.4,113.6,1.21,14
"18-24 years",118.1,1.1,13.6,120.2,1.11,12.6,120.2,0.97,14.1,117.5,0.76,14.3
"25-34 years",119.4,1.08,14.3,122,0.9,14.6,123.6,0.92,14.8,118.7,0.7,14.5
"35-44 years",124.2,0.97,17.3,126.2,1.26,18,128.3,1.46,19,124,1.09,15.9
"45-54 years",134.1,2.54,22.6,133,1.34,20.8,138.9,2.2,26,130.8,1.98,20.7
"55-64 years",141.6,1.94,23.6,141.6,1.34,24.7,144.2,1.36,21.5,140.4,1.58,24
"65-74 years",150.3,1.82,26.3,149.2,1.82,24.3,153.3,1.83,26.6,147.2,1,22.6
"Age-adjusted value",123.1,,,124.7,,,127,,,122.7,,
