Diseases,Total,"Under 1",1-4,5-9,10-14,15-19,20-24,25–34,35–44,45–54,55–64,65AndOver,65–74,75–84,"85 and over"
"Consumption (Tuberculosis)",10.6,1,2.1,3.5,9.4,23.9,31.4,30.9,22.4,14.4,8.8,3.8,5.3,2.6,1.1
Pneumonia,10.2,9.8,14.9,9,8.3,9.1,8.5,8.8,10.4,11,10.7,9,10,8.6,6.4
"Diseases of the heart",6.6,1.5,0.7,3,5.2,3.7,3.6,4.7,7.2,10.1,13.3,13,14.8,12.5,7.7
"Typhoid fever",3.4,0.5,2.5,7,12.2,13.2,10.3,6.8,4.4,2.9,1.6,0.7,0.9,0.5,0.3
"Bright’s disease",3.1,,,1.4,1.8,1.6,2.1,3,4.7,6.2,7.1,5.2,6.4,4.5,2.3
Cancer,2.8,0,0.1,0.2,0.3,0.3,0.4,1.3,4.2,7.6,8.1,4.8,6.2,3.9,2.2
"Old age",2.8,,,,,,,,,,0.5,13.5,4.5,17,38.8
"Apoplexy (nervous system)",2.6,0.1,0.1,0.2,0.3,0.4,0.4,0.9,2.1,4.4,6.3,6.5,7.1,6.6,4.4
"Cholera infantum",2.5,9.2,6.1,,,,,,,,,,,,
"Paralysis (nervous system)",2.2,0.1,0.2,0.5,0.4,0.4,0.4,0.6,1.4,2.6,4.2,6.4,6.2,7.1,5.1
Bronchitis,1.9,3.6,3.2,1.1,0.6,0.5,0.5,0.5,0.5,0.9,1.5,2.5,2.2,2.7,2.7
Enteritis,1.9,5.4,3.6,1.2,0.7,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.5
Meningitis,1.9,3.1,5,5,3.8,2,1.2,1,0.8,0.7,0.4,0.2,0.3,0.2,0.1
