"Cause of death (females, 1–4 years)","Percent"
"All causes",100
"Accidents (unintentional injuries)",29.2
"Congenital malformations, deformations and chromosomal abnormalities",12.7
"Malignant neoplasms",8.3
"Assault (homicide)",7.5
"Diseases of heart",3.7
"Influenza and pneumonia",3.5
"Certain conditions originating in the perinatal period",2
Septicemia,1.8
"Cerebrovascular diseases",1.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",1.2
"All other causes",28.9
