"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",3866,100,40
"Accidents (unintentional injuries)",1998,51.7,20.7
"Assault (homicide)",301,7.8,3.1
"Malignant neoplasms",299,7.7,3.1
"Intentional self-harm (suicide)",270,7,2.8
"Diseases of heart",155,4,1.6
"Congenital malformations, deformations and chromosomal abnormalities",88,2.3,0.9
"Influenza and pneumonia",30,0.8,0.3
"Cerebrovascular diseases",29,0.8,0.3
"Chronic lower respiratory diseases",28,0.7,0.3
Anemias,18,0.5,*
"Pregnancy, childbirth and the puerperium.",18,0.5,*
"All other causes",632,16.3,6.5
