"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",9697,100,94.9
"Accidents (unintentional injuries)",4757,49.1,46.6
"Assault (homicide)",1613,16.6,15.8
"Intentional self-harm (suicide)",1351,13.9,13.2
"Malignant neoplasms",446,4.6,4.4
"Diseases of heart",248,2.6,2.4
"Congenital malformations, deformations and chromosomal abnormalities",137,1.4,1.3
"Chronic lower respiratory diseases",58,0.6,0.6
"Cerebrovascular diseases",38,0.4,0.4
"Influenza and pneumonia",35,0.4,0.3
"Diabetes mellitus",31,0.3,0.3
"All other causes",983,10.1,9.6
