Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",40082,100,3026.9
"Consumption (Tuberculosis)",8976,22.4,677.8
Infectious,4854,12.1,366.6
"Respiratory system",4298,10.7,324.6
"Circulatory system",3504,8.7,264.6
"Genitourinary system",3170,7.9,239.4
"Nervous system",2925,7.3,220.9
"Digestive system",2880,7.2,217.5
Cancer,2615,6.5,197.5
"Affections connected with pregnancy",2306,5.8,174.1
"Accidents and injuries",1234,3.1,93.2
Skin,86,0.2,6.5
"Bones and joints",83,0.2,6.3
"Absorbent system",52,0.1,3.9
"Other causes",3099,7.7,234
