| Age          | Rate |
| ------------ | ---- |
| All ages     | 0.3  |
| Under 1 year | \*   |
| 1-4          | \*   |
| 5-9          | \*   |
| 10-14        | 0.2  |
| 15-19        | 0.5  |
| 20-24        | 0.5  |
| 25-29        | 0.4  |
| 30-34        | 0.3  |
| 35-39        | 0.3  |
| 40-44        | 0.3  |
| 45-49        | 0.2  |
| 50-54        | 0.2  |
| 55-59        | 0.3  |
| 60-64        | \*   |
| 65-69        | 0.3  |
| 70-74        | \*   |
| 75-79        | \*   |
| 80-84        | \*   |
| 85+          | \*   |
| Age-adjusted | 0.3  |
