Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",182.48,202.03,211.18,227.76,266.78,326.01,366.46,398.36,440.93
"12–15 years",327.28,359.72,381.36,418.86,489.73,561.83,605.69,633.83,677.83
"16–19 years",411.68,442.43,468.34,498.37,561.18,634.75,675.91,709.73,749.8
"20–29 years",435.36,461.88,483.16,510.55,574.47,644.14,683.26,714.78,754.81
"30–39 years",433.16,461.23,480.1,513.86,578.45,650.16,699.14,726.32,770.8
"40–49 years",422.79,452.23,472.94,502.54,566.62,647.51,694.02,726.9,779.68
"50–59 years",381.7,417.87,434.42,463.22,530.16,605.76,647.16,681.58,734.88
"60–69 years",344.29,372.35,391.13,425.26,489.86,566.51,608.3,639.07,698.03
"70–79 years",309.24,336.88,356.21,385.45,448.2,504.95,541.83,569.96,612.69
"80 years and over",259.52,281.57,301.17,332.29,381.8,443.19,479.73,504.86,543.55
